epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
31.0,11.0,1876.0,38720.0,1000.0,0.53304905,30.0,30.0,118237.016,0.009003,3.875,,,
46.0,14.0,3737.0,78720.0,2000.0,0.5351887,34.0,32.0,380048.9,0.008003,2.75,,,
76.0,10.0,5604.0,118720.0,3000.0,0.5353319,87.0,50.333332,40104.97,0.007003,1.625,,,
95.0,19.0,7450.0,158720.0,4000.0,0.53691274,60.0,52.75,9955180.0,0.006003,0.5,,,
123.0,6.0,9518.0,198720.0,5000.0,0.5253205,40.0,50.2,9103089.0,0.005003,0.5,,,
144.0,8.0,11520.0,238720.0,6000.0,0.5208333,53.0,50.666668,19261382.0,0.004003,0.5,,,
158.0,146.0,13601.0,278720.0,7000.0,0.51466805,40.0,49.142857,24240.098,0.003003,0.5,,,
165.0,25.0,15616.0,318720.0,8000.0,0.51229507,200.0,68.0,49561.938,0.002003,0.5,,,
170.0,25.0,17669.0,358720.0,9000.0,0.5093667,200.0,82.666664,265881.47,0.001003,0.5,,,
175.0,25.0,19721.0,398720.0,10000.0,0.5070737,200.0,94.4,1050802.9,3e-06,0.5,,,
